Check,Result
processed_date,No missing values
1999__1st_quarter,No missing values
1999__2nd_quarter,No missing values
1999__3rd_quarter,No missing values
1999__4th_quarter,No missing values
2000__1st_quarter,No missing values
2000__2nd_quarter,No missing values
2000__3rd_quarter,No missing values
2000__4th_quarter,No missing values
2001__1st_quarter,No missing values
2001__2nd_quarter,No missing values
2001__3rd_quarter,No missing values
2001__4th_quarter,No missing values
2002__1st_quarter,No missing values
2002__2nd_quarter,No missing values
2002__3rd_quarter,No missing values
2002__4th_quarter,No missing values
2003__1st_quarter,No missing values
2003__2nd_quarter,No missing values
2003__3rd_quarter,No missing values
2003__4th_quarter,No missing values
2004__1st_quarter,No missing values
2004__2nd_quarter,No missing values
2004__3rd_quarter,No missing values
2004__4th_quarter,No missing values
2005__1st_quarter,No missing values
2005__2nd_quarter,No missing values
2005__3rd_quarter,No missing values
2005__4th_quarter,No missing values
2006__1st_quarter,No missing values
2006__2nd_quarter,No missing values
2006__3rd_quarter,No missing values
2006__4th_quarter,No missing values
2007__1st_quarter,No missing values
2007__2nd_quarter,No missing values
2007__3rd_quarter,No missing values
2007__4th_quarter,No missing values
2008__1st_quarter,No missing values
2008__2nd_quarter,No missing values
2008__3rd_quarter,No missing values
2008__4th_quarter,No missing values
2009__1st_quarter,No missing values
2009__2nd_quarter,No missing values
2009__3rd_quarter,No missing values
2009__4th_quarter,No missing values
2010__1st_quarter,No missing values
2010__2nd_quarter,No missing values
2010__3rd_quarter,No missing values
2010__4th_quarter,No missing values
2011__1st_quarter,No missing values
2011__2nd_quarter,No missing values
2011__3rd_quarter,No missing values
2011__4th_quarter,No missing values
2012__1st_quarter,No missing values
2012__2nd_quarter,No missing values
2012__3rd_quarter,No missing values
2012__4th_quarter,No missing values
2013__1st_quarter,No missing values
2013__2nd_quarter,No missing values
2013__3rd_quarter,No missing values
2013__4th_quarter,No missing values
2014__1st_quarter,No missing values
2014__2nd_quarter,No missing values
2014__3rd_quarter,No missing values
2014__4th_quarter,No missing values
2015__1st_quarter,No missing values
2015__2nd_quarter,No missing values
2015__3rd_quarter,No missing values
2015__4th_quarter,No missing values
2016__1st_quarter,No missing values
2016__2nd_quarter,No missing values
2016__3rd_quarter,No missing values
2016__4th_quarter,No missing values
2017__1st_quarter,No missing values
2017__2nd_quarter,No missing values
2017__3rd_quarter,No missing values
2017__4th_quarter,No missing values
2018__1st_quarter,No missing values
2018__2nd_quarter,No missing values
2018__3rd_quarter,No missing values
2018__4th_quarter,No missing values
2019__1st_quarter,No missing values
2019__2nd_quarter,No missing values
2019__3rd_quarter,No missing values
2019__4th_quarter,No missing values
2020__1st_quarter,No missing values
2020__2nd_quarter,No missing values
2020__3rd_quarter,No missing values
2020__4th_quarter,No missing values
2021__1st_quarter,No missing values
2021__2nd_quarter,No missing values
2021_3rd_quarter,No missing values
2021__4th_quarter,No missing values
2022_1st_quarter,No missing values
2022__2nd_quarter,No missing values
2022__3nd_quarter,No missing values
2022__4th_quarter,No missing values
2023__1st_quarter,No missing values
2023__2nd_quarter,No missing values
2023__3nd_quarter,No missing values
2023_4th_quarter,No missing values
2024_1st_quarter_[provisional],No missing values
filename,No missing values
new_columns,"New column(s) detected: {'filename', 'processed_date'}"
missing_columns,No missing column(s) detected
